compound_id,exact_mol_wt,logp,tpsa,hbd,hba,formal_charge,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,structural_alert_count,qed
668270-12-0,473.24079858809006,0.4306200000000022,118.48000000000002,1,9,1,4,5,4,35,0.4,1,0.4296284276607755
67-03-8,265.11175858409,0.60774,75.91,2,5,1,4,2,2,18,0.4166666666666667,1,0.79412732636072
67-48-1,104.10699048808999,-0.3150999999999999,20.23,1,1,1,2,0,0,7,1.0,1,0.47618393148924254
67-73-2,452.2010451199999,2.366800000000001,93.06,2,6,0,2,5,0,32,0.75,0,0.6684104451867194
67-92-5,310.27405581208995,2.985100000000001,30.740000000000002,1,2,1,7,2,0,22,0.9473684210526315,1,0.7329245274778191
68-35-9,249.04517010791,1.4529,100.04,1,5,-1,3,2,2,17,0.0,1,0.8296184522843686
68-41-7,103.05020388409,-2.3417000000000003,65.97,2,2,1,0,1,0,7,0.6666666666666666,0,0.36051314089362796
68291-97-4,212.025563116,0.6163,86.19000000000001,1,4,0,2,2,2,14,0.125,0,0.7899579227288236
68373-14-8,232.02851699991,-2.129699999999998,94.57999999999998,0,5,-1,1,2,0,15,0.75,1,0.4812035402653332
69-52-3,348.10235063590994,-1.016599999999999,115.56,2,6,-1,4,3,1,24,0.4375,1,0.673352601542185
697761-98-1,446.11760228390995,2.9463,91.59000000000002,1,6,-1,7,3,3,31,0.30434782608695654,0,0.6021275728743393
70024-40-7,388.19793073209,0.475900000000001,104.29,1,7,1,4,4,2,28,0.5263157894736842,0,0.8120485475382114
70288-86-7,874.5078570480001,5.601400000000008,170.06,3,14,0,8,7,0,62,0.8125,2,0.2035245857212583
70458-96-7,320.14049610809,0.24210000000000048,79.15,2,4,1,3,3,2,23,0.375,0,0.8491699211669077
70476-82-3,446.21543752018,-2.1915999999999953,172.34,8,8,2,12,3,2,32,0.36363636363636365,2,0.11442203715243884
7081-44-9,434.05829290390994,1.2140199999999997,115.57,1,7,-1,4,4,2,29,0.3684210526315789,1,0.7188262939920901
7081-53-0,379.23800465209,1.7562000000000013,33.980000000000004,1,2,1,6,4,2,28,0.4583333333333333,0,0.8298922383533142
71-58-9,386.245709568,4.655200000000004,60.440000000000005,0,4,0,2,4,0,28,0.7916666666666666,1,0.6479725905950843
71675-85-9,370.17950379609,-0.13199999999999745,102.93,3,5,1,7,2,1,25,0.5882352941176471,1,0.5802944555391718
72-14-0,255.013618528,0.948,88.31,2,4,0,2,2,2,16,0.0,1,0.782907860113702
72-33-3,310.193280072,3.915600000000003,29.46,1,2,0,1,4,1,23,0.6190476190476191,1,0.7968347529245803
721-50-6,221.16483971209,1.2954199999999998,45.71,2,1,1,5,1,1,16,0.46153846153846156,0,0.7730989958043514
723-46-6,252.04483575991,1.95932,100.29,1,5,-1,3,2,2,17,0.1,1,0.8412922689957015
72432-03-2,208.11794909609,-4.6791999999999945,105.59000000000002,6,5,1,3,1,0,14,1.0,0,0.27955883457048564
72559-06-9,845.4342323519102,3.9837200000000035,208.37999999999994,4,14,-1,4,6,1,61,0.5869565217391305,1,0.31693104976152514
7279-75-6,240.15941998409,0.8815999999999995,77.30000000000001,4,3,1,5,1,1,17,0.5384615384615384,1,0.5770398019235979
73590-58-6,346.12198892009,2.31884,78.35,1,4,1,5,3,3,24,0.29411764705882354,0,0.7688969417435119
738-70-5,291.14516688809,0.6767,106.76,2,6,1,5,2,2,21,0.2857142857142857,0,0.8384514651594791
73816-42-9,476.098643312,-2.3992999999999967,185.65,6,8,0,2,4,1,33,0.3181818181818182,1,0.25484112780780177
73963-72-1,369.21647510400004,3.4647000000000014,81.93,1,6,0,7,4,2,27,0.6,1,0.755913406639335
74011-58-8,320.12846862400005,-1.6975999999999976,94.87,1,6,0,3,3,2,23,0.4,0,0.7275118551610187
745-65-3,353.23334773590994,2.1403999999999996,97.66,2,5,-1,13,1,0,25,0.8,2,0.39041938304309537
74863-84-6,508.246789252,-2.2417999999999925,182.28,5,6,0,9,3,1,35,0.6086956521739131,3,0.14086727317444797
753498-25-8,393.21726920809,2.122699999999999,89.93,4,3,1,6,4,3,29,0.375,0,0.5171431157408912
75607-67-9,363.0391097018199,-2.9878999999999993,191.73,3,12,-2,4,3,2,24,0.5,2,0.3704495485379418
75695-93-1,371.148120772,2.5822000000000003,103.55,1,8,0,4,3,2,27,0.3684210526315789,1,0.8181000978992072
75706-12-6,270.061612188,3.2541200000000012,55.13,1,3,0,2,2,2,19,0.16666666666666666,0,0.9108229912132475
76-90-4,340.19072011209,2.7045000000000012,46.53,1,3,1,4,3,2,25,0.38095238095238093,2,0.6875579142294286
7681-93-8,664.2974641119099,-1.2149999999999952,233.81999999999996,6,14,-1,3,4,0,47,0.6363636363636364,2,0.15347219982471577
76824-35-6,337.0449357200001,-1.2844999999999986,172.85000000000002,4,6,0,7,1,1,20,0.375,3,0.27361391957933345
